ICAO_Code,Location_Name,Latitude,Longitude,Terr_code,ICAO Member State,ICAO_Code
KATL,HARTSFIELD - JACKSON  ATLANTA INTL,33.63669722,-84.42786389,KA,United States,KATL
KORD,CHICAGO-O'HARE INTL,41.97451944,-87.90659722,KO,United States,KORD
KDFW,DALLAS/FORT WORTH INTL,32.89723056,-97.03769444,KD,United States,KDFW
KLAX,LOS ANGELES INTL,33.94249444,-118.4080472,KL,United States,KLAX
ZBAA,BEIJING/CAPITAL,40.07333333,116.5983333,ZB,China,ZBAA
KDEN,DENVER INTL,39.86166667,-104.6731667,KD,United States,KDEN
KCLT,CHARLOTTE/DOUGLAS INTL,35.21375,-80.94905556,KC,United States,KCLT
KIAH,GEORGE BUSH INTERCONTINENTAL/HOUSTON,29.98443333,-95.34144167,KI,United States,KIAH
LFPG,PARIS-CHARLES DE GAULLE,49.00972222,2.547777778,LF,France,LFPG
EGLL,LONDON HEATHROW,51.4775,-0.461388889,EG,United Kingdom,EGLL
EDDF,FRANKFURT MAIN,50.03330556,8.570455556,ED,Germany,EDDF
LTBA,ISTANBUL/ATATURK,40.97611111,28.81416667,LT,Türkiye,LTBA
ZSPD,SHANGHAI/PUDONG,31.145,121.7933333,ZS,China,ZSPD
EHAM,AMSTERDAM/SCHIPHOL,52.30805556,4.764166667,EH,Netherlands,EHAM
CYYZ,"TORONTO/LESTER B. PEARSON INTL, ON",43.67671667,-79.63065556,CY,Canada,CYYZ
KJFK,JOHN F KENNEDY INTL,40.63992778,-73.77869167,KJ,United States,KJFK
RJTT,TOKYO INTL,35.55333333,139.7811111,RJ,Japan,RJTT
KSFO,SAN FRANCISCO INTL,37.61880556,-122.3754167,KS,United States,KSFO
WIII,JAKARTA/SOEKARNO HATTA INTL,-6.123611111,106.6611111,WI,Indonesia,WIII
KPHX,PHOENIX SKY HARBOR INTL,33.43427778,-112.0115833,KP,United States,KPHX
KEWR,NEWARK LIBERTY INTL,40.69247778,-74.16868611,KE,United States,KEWR
KPHL,PHILADELPHIA INTL,39.87208333,-75.24066111,KP,United States,KPHL
ZGGG,GUANGZHOU/BAIYUN,23.39333333,113.3083333,ZG,China,ZGGG
KMIA,MIAMI INTL,25.79536111,-80.29011389,KM,United States,KMIA
KLAS,MC CARRAN INTL,36.08004167,-115.1522333,KL,United States,KLAS
VHHH,HONG KONG/INTERNATIONAL,22.30888889,113.9147222,VH,China,VHHH
KMSP,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN,44.88197222,-93.22177778,KM,United States,KMSP
OMDB,DUBAI INTERNATIONAL,25.25277778,55.36444444,OM,United Arab Emirates,OMDB
MMMX,MEXICO,19.43639444,-99.07196944,MM,Mexico,MMMX
KDTW,DETROIT METROPOLITAN WAYNE COUNTY,42.21244444,-83.35338889,KD,United States,KDTW
KSEA,SEATTLE-TACOMA INTL,47.44988889,-122.3117778,KS,United States,KSEA
EDDM,MUENCHEN,48.35378333,11.78608611,ED,Germany,EDDM
LEMD,MADRID/ADOLFO SUAREZ MADRID-BARAJAS,40.47222222,-3.560833333,LE,Spain,LEMD
KLGA,LA GUARDIA,40.77725,-73.87261111,KL,United States,KLGA
WMKK,KL INTERNATIONAL/SEPANG,2.743333333,101.6980556,WM,Malaysia,WMKK
WSSS,SINGAPORE/SINGAPORE CHANGI INTL,1.359211111,103.989325,WS,Singapore,WSSS
KBOS,GENERAL EDWARD LAWRENCE LOGAN INTL,42.36294444,-71.00638889,KB,United States,KBOS
VIDP,"INDIRA GANDHI INTERNATIONAL AIRPORT, DELHI",28.56861111,77.11222222,VI,India,VIDP
LIRF,ROMA/FIUMICINO,41.80027778,12.23888889,LI,Italy,LIRF
VTBS,BANGKOK/SUVARNABHUMI INTL AIRPORT,13.68583333,100.7488889,VT,Thailand,VTBS
KMCO,ORLANDO INTL,28.42938889,-81.309,KM,United States,KMCO
YSSY,SYDNEY/(KINGSFORD SMITH),-33.946,151.1771111,YS,Australia,YSSY
ZGSZ,SHENZHEN/BAOAN,22.63833333,113.8116667,ZG,China,ZGSZ
RKSI,INCHEON INTL,37.4625,126.4391667,RK,Republic of Korea,RKSI
VABB,"CHHATRAPATI SHIVAJI MAHARAJ INTERNATIONAL AIRPORT, MUMBAI",19.09166667,72.86611111,VA,India,VABB
KDCA,RONALD REAGAN WASHINGTON NATIONAL,38.85144444,-77.03772222,KD,United States,KDCA
LEBL,BARCELONA/JOSEP TARRADELLAS BARCELONA-EL PRAT,41.29694444,2.078333333,LE,Spain,LEBL
ZUUU,CHENGDU/SHUANGLIU,30.58,103.9483333,ZU,China,ZUUU
KIAD,WASHINGTON DULLES INTL,38.94744444,-77.45994444,KI,United States,KIAD
SKBO,BOGOTA EL DORADO/BOGOTA,4.701388889,-74.14694444,SK,Colombia,SKBO
SBGR,"SAO PAULO/GUARULHOS, GOVERNADOR ANDRE FRANCO MONTORO,  SP",-23.43555556,-46.47305556,SB,Brazil,SBGR
KSLC,SALT LAKE CITY INTL,40.78839167,-111.9777722,KS,United States,KSLC
